URL,Date,Description
https://spc.rotary.org/project?guid=11A58A9E-95E0-4037-B575-A521C1496690,21 July 2025,A custom designed vehicle to provide power+communications in the aftermath of a natural disaster
https://spc.rotary.org/project?guid=32903552-EB0A-465F-A035-A4C801643436,15 August 2025,Scholarship to 5 girl students from RBHN
https://spc.rotary.org/project?guid=3A5EBE02-09FC-4227-8759-9690C19C7462,13 September 2025,Encouraging women entrepreneurs and leadership skills
https://spc.rotary.org/project?guid=3CCE0675-6B41-4741-B741-6F00B358EC0F,17 August 2025,oday our cloth collection drive successfully concluded with around 24 boxes (over 1000 clothes) coll
https://spc.rotary.org/project?guid=458AA27E-5746-4207-B52D-C93870C2205D,14 November 2025,Sharing play/learn materials to Govt school children at Anganwadi along with refreshments
https://spc.rotary.org/project?guid=55AB29BC-4FD2-45EA-8D20-4AA30846C072,23 October 2025,"Polio awareness walkathan,participating club"
https://spc.rotary.org/project?guid=626A8F06-F646-46FF-A7A0-C38F6C8321BE,22 September 2025,Free health camp for truck drivers
https://spc.rotary.org/project?guid=73001130-11F1-4D0C-9EEE-CF59F72BD34A,30 August 2025,Collected units of blood
https://spc.rotary.org/project?guid=74A34035-1409-445D-97B7-635A9FAF65D7,28 July 2025,Career counseling session at NITTE International school by Rotary Heritage North
https://spc.rotary.org/project?guid=7EAC0FB5-5067-4B3E-BA28-B5E6369F7F36,05 September 2025,Healthy Brain-Peaceful mind By RB Heritage North  By Dr Spurana
https://spc.rotary.org/project?guid=AAFB49B0-7642-477E-AB18-583002FF74AB,23 October 2025,"Polio awareness walkathan,participating club"
https://spc.rotary.org/project?guid=CADD59C2-F18A-4F33-8F4A-1B1A0682BF65,23 August 2025,Blood donation camp at Nagarjuna Meadows Phase 1
https://spc.rotary.org/project?guid=D451DC4A-5325-4F08-9833-6D22D77E387A,20 July 2025,"Club visit to assess the needs of a old age home,donated assorted fruits"
https://spc.rotary.org/project?guid=E0AEEA01-E0B4-4C15-B622-DA3650F179BB,23 July 2025,Business Management Development Program
https://spc.rotary.org/project?guid=EF948F65-742E-463C-B33C-A9574DF3CC2D,21 August 2025,"Community Service- Your Voice matters - Navigating Boundaries, Touch & Respect in everyday spaces"
https://spc.rotary.org/project?guid=FA1706D9-6377-4C22-A3D4-3EC9F0D57799,21 August 2025,Awareness session on women safety and government policy and rules
